Tiempo (s),Fuerza (N),Posición (m),Vector velocidad (m/s),Aceleración (m/s²)
0.000,-7.6,0.245,,
0.020,-7.7,,,
0.040,-7.7,,,
0.050,,0.241,-0.01,
0.060,-7.7,,,
0.080,-7.8,,,
0.100,-7.8,0.243,0.01,-0.3
0.120,-7.8,,,
0.140,-7.8,,,
0.150,,0.243,-0.04,-0.6
0.160,-7.8,,,
0.180,-7.8,,,
0.200,-7.9,0.239,-0.04,0.3
0.220,-7.9,,,
0.240,-7.9,,,
0.250,,0.238,-0.01,0.4
0.260,-7.9,,,
0.280,-7.9,,,
0.300,-7.9,0.238,-2.14E-4,0.3
0.320,-7.9,,,
0.340,-7.9,,,
0.350,,0.238,0.02,0.1
0.360,-7.9,,,
0.380,-7.9,,,
0.400,-7.8,0.240,0.01,-0.1
0.420,-7.8,,,
0.440,-7.8,,,
0.450,,0.240,0.00,-0.1
0.460,-7.8,,,
0.480,-7.8,,,
0.500,-7.8,0.240,0.00,0.1
0.520,-7.8,,,
0.540,-7.8,,,
0.550,,0.240,0.01,0.0
0.560,-7.8,,,
0.580,-7.8,,,
0.600,-7.7,0.240,0.00,-0.1
0.620,-7.8,,,
0.640,-7.8,,,
0.650,,0.240,0.00,-0.3
0.660,-7.8,,,
0.680,-7.8,,,
0.700,-7.8,0.240,-0.02,-0.5
0.720,-7.8,,,
0.740,-7.8,,,
0.750,,0.238,-0.05,0.4
0.760,-7.8,,,
0.780,-7.9,,,
0.800,-7.8,0.235,0.01,6.4
0.820,-7.8,,,
0.840,-7.4,,,
0.850,,0.239,0.59,6.5
0.860,-6.5,,,
0.880,-5.5,,,
0.900,-4.2,0.294,0.66,-3.3
0.920,-2.9,,,
0.940,-1.8,,,
0.950,,0.305,0.26,-4.7
0.960,-0.8,,,
0.980,-0.3,,,
1.000,-0.1,0.320,0.19,-3.6
1.020,-0.3,,,
1.040,-0.8,,,
1.050,,0.325,-0.10,-5.9
1.060,-1.4,,,
1.080,-2.5,,,
1.100,-3.5,0.310,-0.39,-2.1
1.120,-4.8,,,
1.140,-6.1,,,
1.150,,0.286,-0.31,4.0
1.160,-6.8,,,
1.180,-7.6,,,
1.200,-7.7,0.279,0.01,6.3
1.220,-7.7,,,
1.240,-6.8,,,
1.250,,0.287,0.32,4.6
1.260,-6.0,,,
1.280,-5.0,,,
1.300,-3.6,0.311,0.47,-0.1
1.320,-2.5,,,
1.340,-1.5,,,
1.350,,0.334,0.31,-5.0
1.360,-0.6,,,
1.380,-0.5,,,
1.400,-0.3,0.342,-0.04,-6.8
1.420,-0.7,,,
1.440,-1.1,,,
1.450,,0.330,-0.36,-4.4
1.460,-1.8,,,
1.480,-2.9,,,
1.500,-4.1,0.306,-0.47,0.7
1.520,-5.3,,,
1.540,-6.4,,,
1.550,,0.283,-0.30,5.5
1.560,-7.1,,,
1.580,-7.6,,,
1.600,-7.6,0.276,0.07,6.8
1.620,-7.3,,,
1.640,-6.4,,,
1.650,,0.290,0.39,3.9
1.660,-5.5,,,
1.680,-4.3,,,
1.700,-3.1,0.315,0.46,-1.4
1.720,-2.1,,,
1.740,-1.1,,,
1.750,,0.336,0.25,-5.2
1.760,-0.6,,,
1.780,-0.3,,,
1.800,-0.4,0.340,-0.06,-6.4
1.820,-0.9,,,
1.840,-1.5,,,
1.850,,0.330,-0.39,-4.2
1.860,-2.4,,,
1.880,-3.5,,,
1.900,-4.6,0.301,-0.48,1.6
1.920,-5.8,,,
1.940,-6.5,,,
1.950,,0.282,-0.22,6.1
1.960,-7.2,,,
1.980,-7.4,,,
2.000,-7.3,0.279,0.13,6.3
2.020,-6.8,,,
2.040,-5.7,,,
2.050,,0.295,0.40,2.9
2.060,-5.0,,,
2.080,-3.6,,,
2.100,-2.6,0.319,0.43,-2.3
2.120,-1.6,,,
2.140,-0.9,,,
2.150,,0.338,0.17,-6.0
2.160,-0.5,,,
2.180,-0.5,,,
2.200,-0.8,0.336,-0.17,-5.7
2.220,-1.2,,,
2.240,-2.0,,,
2.250,,0.320,-0.40,-2.2
2.260,-3.2,,,
2.280,-4.0,,,
2.300,-5.2,0.296,-0.40,2.7
2.320,-6.1,,,
2.340,-6.8,,,
2.350,,0.281,-0.13,6.0
2.360,-7.4,,,
2.380,-7.2,,,
2.400,-7.1,0.284,0.21,5.3
2.420,-6.2,,,
2.440,-5.4,,,
2.450,,0.301,0.40,1.9
2.460,-4.3,,,
2.480,-3.1,,,
2.500,-2.4,0.324,0.40,-2.6
2.520,-1.3,,,
2.540,-0.8,,,
2.550,,0.341,0.15,-6.0
2.560,-0.6,,,
2.580,-0.8,,,
2.600,-1.0,0.339,-0.21,-5.9
2.620,-1.7,,,
2.640,-2.6,,,
2.650,,0.320,-0.45,-1.9
2.660,-3.6,,,
2.680,-4.5,,,
2.700,-5.6,0.294,-0.39,3.6
2.720,-6.3,,,
2.740,-6.9,,,
2.750,,0.281,-0.09,6.2
2.760,-7.1,,,
2.780,-7.0,,,
2.800,-6.7,0.285,0.23,5.0
2.820,-5.9,,,
2.840,-4.9,,,
2.850,,0.304,0.41,1.2
2.860,-3.7,,,
2.880,-2.9,,,
2.900,-1.9,0.326,0.34,-3.3
2.920,-1.3,,,
2.940,-0.8,,,
2.950,,0.338,0.08,-5.6
2.960,-1.0,,,
2.980,-1.1,,,
3.000,-1.5,0.335,-0.22,-4.8
3.020,-2.2,,,
3.040,-3.2,,,
3.050,,0.316,-0.40,-1.1
3.060,-3.9,,,
3.080,-4.8,,,
3.100,-5.5,0.295,-0.33,3.4
3.120,-6.2,,,
3.140,-6.7,,,
3.150,,0.283,-0.06,5.7
3.160,-6.8,,,
3.180,-6.6,,,
3.200,-6.1,0.289,0.24,4.2
3.220,-5.3,,,
3.240,-4.2,,,
3.250,,0.307,0.36,1.1
3.260,-3.3,,,
3.280,-2.6,,,
3.300,-1.8,0.325,0.35,-2.2
3.320,-1.3,,,
3.340,-1.4,,,
3.350,,0.343,0.14,-5.6
3.360,-1.3,,,
3.380,-1.7,,,
3.400,-2.2,0.340,-0.21,-5.9
3.420,-2.8,,,
3.440,-3.4,,,
3.450,,0.322,-0.45,-0.8
3.460,-4.1,,,
3.480,-4.8,,,
3.500,-5.4,0.295,-0.29,5.2
3.520,-6.0,,,
3.540,-6.3,,,
3.550,,0.293,0.08,4.7
3.560,-6.4,,,
3.580,-6.3,,,
3.600,-5.8,0.303,0.18,2.2
3.620,-5.0,,,
3.640,-4.1,,,
3.650,,0.310,0.30,2.5
3.660,-3.2,,,
3.680,-2.5,,,
3.700,-2.1,0.333,0.43,-0.9
3.720,-1.8,,,
3.740,-1.7,,,
3.750,,0.353,0.20,-7.4
3.760,-1.9,,,
3.780,-2.1,,,
3.800,-2.5,0.353,-0.31,-7.7
3.820,-2.9,,,
3.840,-3.4,,,
3.850,,0.322,-0.56,0.4
3.860,-3.9,,,
3.880,-4.4,,,
3.900,-5.0,0.297,-0.27,5.7
3.920,-5.7,,,
3.940,-6.2,,,
3.950,,0.295,0.01,4.0
3.960,-6.3,,,
3.980,-6.0,,,
4.000,-5.6,0.297,0.13,3.0
4.020,-4.8,,,
4.040,-4.1,,,
4.050,,0.308,0.31,2.2
4.060,-3.4,,,
4.080,-2.8,,,
4.100,-2.5,0.328,0.36,-2.8
4.120,-2.2,,,
4.140,-2.0,,,
4.150,,0.344,0.02,-7.1
4.160,-2.0,,,
4.180,-2.2,,,
4.200,-2.4,0.330,-0.36,-4.1
4.220,-2.7,,,
4.240,-3.2,,,
4.250,,0.308,-0.39,2.2
4.260,-3.5,,,
4.280,-4.2,,,
4.300,-4.9,0.291,-0.13,4.2
4.320,-5.5,,,
4.340,-6.0,,,
4.350,,0.295,0.03,2.5
4.360,-6.1,,,
4.380,-5.9,,,
4.400,-5.5,0.294,0.12,3.2
4.420,-4.9,,,
4.440,-4.2,,,
4.450,,0.307,0.35,2.0
4.460,-3.6,,,
4.480,-3.2,,,
4.500,-2.7,0.329,0.32,-2.9
4.520,-2.4,,,
4.540,-2.1,,,
4.550,,0.338,0.06,-5.7
4.560,-2.0,,,
4.580,-2.0,,,
4.600,-2.2,0.335,-0.26,-4.0
4.620,-2.5,,,
4.640,-3.0,,,
4.650,,0.313,-0.34,1.2
4.660,-3.6,,,
4.680,-4.3,,,
4.700,-5.1,0.302,-0.14,3.0
4.720,-5.7,,,
4.740,-6.0,,,
4.750,,0.299,-0.03,3.0
4.760,-6.2,,,
4.780,-6.0,,,
4.800,-5.5,0.298,0.16,3.8
4.820,-5.0,,,
4.840,-4.4,,,
4.850,,0.315,0.35,1.1
4.860,-3.8,,,
4.880,-3.2,,,
4.900,-2.7,0.333,0.27,-4.1
4.920,-2.1,,,
4.940,-1.8,,,
4.950,,0.342,-0.06,-5.8
4.960,-1.7,,,
